part_number,manufacturer,sell_price,quantity_available,margin_percent,cost_price,cert available,leadtime
MS24693C48,,0.08,0,,,Mfg CoC,3 weeks
MS24693C49,,0.11,0,,,Mfg CoC,3 weeks
MS24693C50,,0.07,0,,,Mfg CoC,3 weeks
MS24693C51,,0.08,0,,,Mfg CoC,3 weeks
MS24693C52,,0.14,100,,,Mfg CoC,3 weeks
MS24693C54,,0.1,0,,,Mfg CoC,3 weeks
MS24694-S49,,0.16,0,,,Mfg CoC,3 weeks
MS24694C46,,0.14,0,,,Mfg CoC,3 weeks
MS25224-3,,0,0,,,Mfg CoC,
MS27039-0807,,0.12,0,,,Mfg CoC,3 weeks
MS27196-32,,20.39,0,,,Mfg CoC,3 weeks
MS27253F2,,2.94,0,,,Mfg CoC,3 weeks
MS27980-1N,,0.09,550,,,Mfg CoC,3 weeks
MS27980-6N,,0,0,,,Mfg CoC,
MS28778-12,,0.62,0,,,Mfg CoC,3 weeks
MS28778-6,,1.5,850,,,Mfg CoC,With Stock
MS28778-8,,0.47,3,,,Mfg CoC,3 weeks
MS29512-16,,0.69,0,,,Mfg CoC,3 weeks
MS3367-1-9,,0.04,30,,,Mfg CoC,3 weeks
MS3367-3-0,,0,0,,,Mfg CoC,
MS3367-5-9,,0,0,,,Mfg CoC,
MS35338-136,,0.02,0,,,Mfg CoC,3 weeks
MS35338-42,,0.01,0,,,Mfg CoC,3 weeks
MS35338-43,,0.55,383,,,Mfg CoC,3 weeks
MS35338-44,,0.05,0,,,Mfg CoC,3 weeks
MS51844-22,,0,0,,,Mfg CoC,
MS51957-41,,0.05,0,,,Mfg CoC,3 weeks
MS51957-42,,0.06,0,,,Mfg CoC,3 weeks
MS51957-43,,0.06,0,,,Mfg CoC,3 weeks
MS51957-45,,0.08,0,,,Mfg CoC,3 weeks
MS51957-47,,0.11,5,,,Mfg CoC,3 weeks
MS51958-65,,0.12,0,,,Mfg CoC,3 weeks
